Name;Name2;Name3;;Stadt;Land
Institute of Botany;Academy of Sciences;of the Czech Republic;;Pruhonice;CZECH REPUBLIC
Arboretum Novy Dvur;Slezeké zemské muzeum Opave;;;Opava;CZECH REPUBLIC
Botanicka Zahrada;Scholae Agriculturae;;;Tábor;CZECH REPUBLIC
Botanischer Garten;und Alpengarten;Universität Innsbruck;;Innsbruck;ÖSTERREICH
Botanicki Vrt;Faculty of Science;;;Zagreb;CROATIA
Rennsteiggarten;Oberhof;Bot. Garten für Gebirgsflora;;Oberhof;Deutschland
Botanischer Garten;Universität Hamburg;;;Hamburg;Deutschland
Botanischer Garten;der Ruprecht-Karls-Universität;;;Heidelberg;Deutschland
Botanischer Garten;der Friedrich-Schiller-Univ.;;;Jena;Deutschland
Botanischer Garten;Universität (TH) Fridericiana;;;Karlsruhe;Deutschland
Botanischer Garten;Fachbereich Grünflächen;;;Krefeld;Deutschland
Botanischer Garten;der Universität Leipzig;;;Leipzig;Deutschland
Jardin Botanique;de l'Université de Fribourg;;;Fribourg;SCHWEIZ
Botanischer Garten;internat. Samentausch;Westf. Wilhelms-Universität;;Münster;Deutschland
Neuer Botanischer Garten;der Universität;;;Göttingen;Deutschland
Botanischer Garten;der Univers. Oldenburg;;;Oldenburg;Deutschland
Universität Hohenheim;Botanischer Garten 211;;;Stuttgart;Deutschland
Botanischer Garten;der Universität Tübingen;;;Tübingen;Deutschland
Botanischer Garten;Universität Ulm;Oberer Eselsberg;;Ulm;Deutschland
Schau- und Sichtungsgarten;Hermannshof e.V.;;;Weinheim;Deutschland
Gewächshaus;f. tropische Nutzpflanzen;Inst.f.Nutzpflanzenk. FB 11;;Witzenhausen;Deutschland
Botanischer Garten;der Stadt Wuppertal;;;Wuppertal;Deutschland
Botanischer Garten;der Philipps-Universität;;;Marburg;Deutschland
Botanischer Garten;der Technischen Universität;;;Dresden;Deutschland
Kossuth Lajos Tudomanyegyetem;Botanikus Kert;;;Debrecen;HUNGARY
Botanical Garden;Palacky University;;;Olomouc;CZECH REPUBLIC
Botanicka zahrada Teplice;;;;Teplice;CZECH REPUBLIC
Ökolog. Botanischer Garten;Universität Bayreuth;;;Bayreuth;Deutschland
Botanischer Garten & Museum;;;;Berlin;Deutschland
Botanischer Garten;der Ruhr-Universität Bochum;;;Bochum;Deutschland
Botanischer Garten;der Technischen Universität;Postfach 3329;;Braunschweig;Deutschland
Botanischer Garten;der Martin-Luther-Universität;;;Halle / Saale;Deutschland
Botanischer Garten;der Technischen Hochschule;;;Darmstadt;Deutschland
Forstbotanischer Garten;und Arboretum;der Universität Göttingen;;Göttingen;Deutschland
Botanischer Garten;der Universität;Erlangen-Nürnberg;;Erlangen;Deutschland
The Royal Horticultural Society's Garden;;;;Surrey GU23 6QB;United Kingdom
Batumin Botanical Garden;Hortus Botanicus Batumensis;;;Batumi, Makhinjauri,;Republic of Georgia
Tbilisi Botanical Garden;;;;Tbilisi (Tibilisi);Republic of Georgia
Botanischer Garten;der Justus-Liebig-Universität;;;Gießen;Deutschland
Botanischer Garten;;;;Göttingen;Deutschland
Jardin Botanique de Lausanne;;;;Lausanne;SCHWEIZ
Stadt Chemnitz;Grünflächenamt, Amt 67;Botanischer Garten;;Chemnitz;Deutschland
Gardina Agrobotanica;Universitatea de Stiinte Agricole;Si Medicina Veterinara;;Cluj - Napoca;ROMANIA
University of Trondheim;Ringve botanical garden;;;Trondheim;NORWAY
Instytut Hodowli i Aklimatyzacji Roslin;- Ogrod Botaniczny;;;Bydgoszcz;POLAND
Jardim Botanico da Ajuda;Instituto Superior de Agronomia;;;Lisboa;PORTUGAL
Universidade do Porto, Departamento de Biologia;Faculdade de Ciências Edifício FC4;"Dr. Goncalo Sampaio";;Porto;PORTUGAL
Banco de Sementes;Dep. de Proteccao das Plantas e de Fitoecologica;Inst. Superior de Agronomia;;Lisboa;PORTUGAL
Hortus Botanicus;Universitatis Comenianae;;;Bratislava;SLOVAKIA
Botanicka Zahrada;Universitatis P.J.Safarikianae;;;Kosice;SLOVAKIA
Botanical Garden;of Slovak Agricultural University;;;Nitra;SLOVAKIA
Botanische tuin Kralingen;;;;Rotterdam;NETHERLANDS
The Arboretum;Coll. of Agriculture & Life Sciences;Seoul National University;;Gyeonggi-do, 430-012;Republic of Korea
Department of Phytology;Faculty of Forestry;Technical University in Zvolen;;Zvolen;SLOVAKIA
Hortus Botanicus;Universitatis Jagellonicae;;;Kraków;POLAND
Utrecht University;Botanic Gardens;P.O.Box 80.162;;Utrecht;NETHERLANDS
The Botanical Garden -;Center for Biological Diversity Conservation;of The Polish Academy of Sciences;;Warszawa 76;POLAND
Stichting Botanische Tuin;Kerkrade;;;Kerkrade;NETHERLANDS
Botanic Garden;Delft University of Technology;Burger's Zoo, Arnhem;;Delft;NETHERLANDS
Dendrological Park;'Alexandria';NAS of Ukraine;;Kiev Region;UKRAINA
Hortus Botanicus Amsterdam;scientific keeper;;;Amsterdam;NETHERLANDS
VSM Geneesmiddelen BV;T.a.v. Afdeling Tuin;Postbus 9321;;Alkmaar;NETHERLANDS
Botanic Garden;Seed Exchange;Dunedin City Council;;Dunedin/South Island;NEW ZEALAND
